Rank,Player,Team,Scores,Tally,Games,Era,Average
1,Henry Shefflin,Kilkenny,28-485,569,71 games,2000-2018,8
2,Joe Canning,Galway,27-423,504,55 games,2000-2018,9.03
3,Eddie Keher,Kilkenny,35-336,441,50 games,1960-1980,8.8
4,Eoin Kelly,Tipperary,21-369,432,63 games,2000-2018,6.8
5,Patrick Horgan,Cork,13-342,381,51 games,2000-2018,7.3
6,Christy Ring,Cork,33-208,307,65 games,1940-1960,4.7
7,T. J. Reid,Kilkenny,17-256,307,52 games,2000-2018,5.5
8,D. J. Carey,Kilkenny,33-188,287,57 games,1980-2000,5
9,Séamus Callanan,Tipperary,27-197,278,48 games,2000-2018,6
10,Shane Dooley,Offaly,20-218,278,42 games,2000-2018,6.8
11,Nicky Rackard,Wexford,59-96,273,36 games,1940-1960,7.6
12,Joe Deane,Cork,10-237,267,50 games,2000-2018,5.3
13,Niall Gilligan,Clare,21-197,257,56 games,2000-2018,4.6
14,Ben O'Connor,Cork,8-230,254,62 games,2000-2018,4.1
15,Paul Flynn,Waterford,24-181,253,45 games,2000-2018,5.6
16,Jimmy Doyle,Tipperary,18-176,230,39 games,1960-1980,5.9
17,Eoin Kelly,Waterford,14-187,229,44 games,2000-2018,5.3
18,Charlie McCarthy,Cork,24-149,221,45 games,1960-1980,5.3
19,James Young,Laois,8-191,215,31 games,2000-2018,6.9
20,Shane Dowling,Limerick,12-177,213,26 games,2000-2018,9
21,Johnny Dooley,Offaly,4-199,211,35 games,1980-2000,6
22,Brian Carroll,Offaly,5-192,207,49 games,2000-2018,4.2
23,Paul Ryan,Dublin,8-168,192,34 games,2000-2018,5.6
24,Jim Langton,Kilkenny,15-146,191,43 games,1940-1960,4.4
25,Gary Kirby,Limerick,8-165,189,30 games,1980-2000,6.3
26,Pauric Mahony,Waterford,1-186,189,26 games,2000-2018,7.2
27,John Mullane,Waterford,15-134,179,47 games,2000-2018,3.8
28,Éamonn Cregan,Limerick,27-97,178,40 games,1960-1980,4.4
29,Nicky English,Tipperary,20-117,177,35 games,1980-2000,5
30,Tony Doran,Wexford,40-56,176,40 games,1960-1980,4.4
